Instrument,Revenue,EBIT,ESG Score,Environmental Pillar Score,Social Pillar Score,Governance Pillar Score
A.N,6510000000,1608000000.0,80.0062849381866,77.6260540249044,93.3923012057968,63.4921379453651
AAPL.OQ,391035000000,123216000000.0,71.2106594062627,65.6525923688714,65.0058715538081,86.907586940966
ABBV.N,56334000000,17407000000.0,71.8147704440022,64.1229570077944,93.5743544098113,44.9369442594289
ABNB.OQ,11102000000,2546000000.0,34.4066505354018,19.9509037042131,60.4302958398817,16.3341244614562
ABT.N,41950000000,7039000000.0,83.5608894201261,78.948119913717,85.6294431091609,82.9899194992214
ACGL.OQ,,6645000000.0,59.6685459275556,38.1049529630562,62.3814463237321,63.6913597868494
ACN.N,64896464000,10034287000.0,81.2167017977479,77.1057898971381,78.5095222617893,84.7811577461173
ADBE.OQ,21505000000,7741000000.0,68.0457716193253,74.9805089389587,77.1218657699698,58.1498249048247
ADI.OQ,9427157000,2070056000.0,70.1014268038911,61.5698103990111,70.7602014310663,79.252388354908
ADM.N,85530000000,2589000000.0,77.447651366321,70.3508828403622,79.6271152658195,81.488467451853
ADP.OQ,20560900000,5428300000.0,66.6090393463164,38.5994494873088,75.4793796273029,67.3735677287246
ADSK.OQ,6131000000,1416000000.0,79.0880429845512,65.6432660204732,70.4511711074807,90.5587824123631
AEE.N,7623000000,1516000000.0,50.6664547526762,52.4955754122421,49.4625638116847,49.0996145808791
AEP.OQ,19238300000,4716200000.0,63.291530219821,68.6982010166848,73.8622771704795,40.3582188292965
AES.N,12278000000,2126000000.0,73.451149143734,56.8560998639561,79.1970488733216,94.1930632708926
AFL.N,,7465000000.0,43.2741225967775,33.1957547169811,46.3643767366101,43.0282820602382
AIG.N,,7155000000.0,71.3964909211595,64.1829107078476,65.819611546832,80.3073769289788
AIZ.N,,1059400000.0,66.4559235091821,43.6671023114209,61.3539057474096,80.0045512971704
AJG.N,11554900000,2769900000.0,57.8264558082395,42.7516774826744,55.645779438536,65.3955043480819
AKAM.OQ,3991168000,638854000.0,66.8084379479706,61.933386809953,66.8200581199148,68.2609470302016
ALB.N,5377526000,-640641000.0,70.7330247365399,63.8543725463588,84.1468678448093,60.1562983390698
ALGN.OQ,3999012000,671764000.0,46.3581360338495,30.0134204333758,38.4042256739509,64.4583186212705
ALL.N,,14261000000.0,74.3479620536318,71.193090774346,59.2713423397528,92.9889754795858
ALLE.N,3772200000,800200000.0,43.120183364839,67.740808290862,60.7022170192737,11.7818181818182
AMAT.OQ,27176000000,7867000000.0,80.4005556981022,77.958022069914,87.3978631657593,71.786038730294
AMCR.N,15009000000,1353000000.0,66.8701393162504,60.648080909439,65.4965259459642,78.7381404174573
AMD.OQ,25785000000,2289000000.0,70.5807136458024,70.8850659589019,69.7045123275685,71.6612230451693
AME.N,6941180000,1779562000.0,54.1816289368828,63.9493353126017,49.9422173210131,48.0187209601604
AMGN.OQ,33424000000,9658000000.0,76.4601013973686,71.4695419797713,84.4242019210986,68.2179391875882
AMP.N,17926000000,5376000000.0,76.9458903046896,48.8440362141131,78.8859960306759,83.7381350299185
AMT.N,10127200000,4614800000.0,80.3973291278162,79.6848187858351,69.5980265853774,91.3679363583065
AMZN.OQ,637959000000,68518000000.0,82.7352148609724,89.7745566257949,78.8464129966872,80.609671681618
ANET.N,7003146000,2944616000.0,50.6699207740647,68.0830189722119,55.5794910210312,35.9474789953366
AON.N,15698000000,4409000000.0,55.9365666397362,37.9933364743624,64.998710809345,51.345141830317
AOS.N,3818100000,725300000.0,52.9278627188797,44.0258559648282,45.831856687848,72.9139231755386
APA.OQ,9737000000,3234000000.0,61.3984699042036,44.8120932572962,61.1908757981609,86.0953651421108
APD.N,12100600000,2939800000.0,78.4105445751712,86.9524715867678,76.1315912348598,67.1813666813228
APH.N,15222700000,3284300000.0,75.4245230395802,65.949794936714,72.792093675661,90.5934680508855
APO.N,,8360000000.0,53.6822035383042,69.060606060606,78.1641993181712,32.5170483742754
APTV.N,19713000000,2137000000.0,58.7146708894062,58.0826093005253,62.7057579708446,52.7925363693865
ARE.N,3233608000,953604000.0,74.4976978417148,64.8631182586055,79.4758388138874,81.0641194425803
ATO.N,4165187000,1355362000.0,39.9814238105242,19.2374103864312,31.162490788504,83.2368736854885
AVB.N,2913757000,939999000.0,64.0703823369806,65.0255337984205,63.6321106809479,63.3675273534648
AVGO.OQ,51574000000,15250000000.0,70.6008912417987,80.204688039942,74.8328119552898,52.0936659067667
AVY.N,8755700000,1115400000.0,67.1373392586668,76.7852427415202,70.2158294827295,47.1275565941855
AWK.N,4684000000,1718000000.0,77.0865766067736,63.6123680241327,85.4241683613501,89.9413011375795
AXON.OQ,2082526000,82895000.0,35.4091731278515,19.5489817200344,39.2610713290441,41.8185181541897
AXP.N,71644000000,12385000000.0,66.6818231749771,34.1557165761076,67.9242407521816,77.9804904859321
AZO.N,18490268000,3788708000.0,53.0456915861453,36.0950056371096,73.466018852033,38.8317820430102
BA.N,66517000000,-6190000000.0,79.460754794677,81.8542203410625,88.9585499133679,64.8307577886578
BAC.N,,83325000000.0,86.3433162613954,95.1169940324285,88.7519168106976,79.5153288406101
BALL.N,11795000000,1183000000.0,69.333935356075,81.7521356236549,76.498833640112,38.15217285339
BAX.N,10636000000,1060000000.0,81.924081703731,73.098036572213,83.4742038934874,84.0019085485937
BBY.N,41528000000,1734000000.0,80.9255520557897,77.7626927211641,77.4072272100066,86.4162315517506
BDX.N,20178000000,3318000000.0,83.8185626930546,77.3923301304049,94.2799208414868,73.0433496601888
BEN.N,8478000000,1340700000.0,43.8023080698981,49.5836320916216,58.6444241953235,29.5345683574662
BFb.N,3975000000,1226000000.0,55.6580107893835,52.6041787054373,52.4980566885974,65.1334137754535
BG.N,53108000000,1803000000.0,82.5747433697017,82.1873765842161,83.1861659744362,81.9444444444445
BIIB.OQ,9675900000,2651400000.0,82.6601925883476,89.0386499877507,81.1176070845427,80.2879654983605
BK.N,,8103000000.0,85.2408247234069,84.284697642351,76.7582239003105,92.6907479872273
BKNG.OQ,23739000000,7926000000.0,55.0280249421861,51.0903113258185,36.3598626547393,86.5742106280871
BKR.OQ,27829000000,3455000000.0,84.6632343919207,85.0801833776989,81.9113512616181,88.0905832493876
BLDR.N,16400492000,1595249000.0,43.8913158025213,33.5300798441824,40.7083999508056,62.3474907160501
BLK.N,20407000000,7862000000.0,73.1123096757233,87.9008006765196,77.6762165563693,64.8217965651611
BMY.N,48300000000,11545000000.0,70.6815066964478,79.8739201815986,81.8783532114454,47.2073384043688
BR.N,6889100000,1214300000.0,68.44257900316,63.0943446336392,74.5153923023886,64.4266371794771
BRKb.N,371433000000,60936000000.0,18.8435285242891,28.125,7.60507410678059,23.5244100506353
BRO.N,4805000000,1467000000.0,37.9054986838299,10.9103773584906,50.3298019408971,32.4088519923646
BSX.N,16747000000,3673000000.0,82.2567521943025,57.6158814589666,94.9769527449767,77.0075611457385
BX.N,13229968000,6910702000.0,31.964351108046,20.5969687596659,62.857079770561,9.28737271976948
BXP.N,3407719000,1021931000.0,74.3336887852785,88.4183157754117,70.3298967143372,61.6607398522847
C.N,,39386000000.0,86.786309362954,95.3336733466106,77.2721036354265,92.2563183377692
CAG.N,11612800000,1658900000.0,76.1455788806812,56.6300419696781,85.4098963937512,81.6059875574245
CAH.N,222578000000,2483000000.0,75.4638468741757,73.5285331453455,68.0900488642589,87.9028084123602
CARR.N,22486000000,2340000000.0,62.533983810635,47.2050999753479,82.5933689981377,54.6285616115871
CAT.N,64809000000,14717000000.0,67.5204738177926,66.3444965496156,63.1513428201054,74.660062736573
CB.N,,11310000000.0,45.1058267811963,38.427158164195,38.573349020956,54.9532737071437
CBOE.Z,4094500000,1181500000.0,66.4738988274632,32.37538823024,64.9035256609733,78.0295449027772
CBRE.N,35767000000,1710000000.0,79.0776835663698,85.310357569191,72.2910927456382,80.5180152664475
CCI.N,6568000000,2277000000.0,64.0741030545626,81.1620022468629,46.570478482225,60.5721792897959
CCL.N,25021000000,3574000000.0,82.2290579194794,80.3364137832222,81.6654978290349,84.7777777777778
CDNS.OQ,4641264000,1389128000.0,75.6582887155932,66.6182364409071,88.7596263117779,67.0885970235065
CDW.OQ,20998700000,1923400000.0,64.7897084910492,61.8928571428572,68.1861218007452,61.1468142122515
CEG.OQ,23568000000,4281000000.0,49.8886065329775,51.6353500726772,69.8872814201642,20.9208651621452
CF.N,5936000000,1711000000.0,65.9354913124842,43.2011705713314,79.1660523319794,83.681007338821
CFG.N,,2772000000.0,66.9114668099591,52.8971153127106,57.1999641396097,85.8974999768954
CHD.N,6107100000,1164200000.0,71.0263488501323,71.6062628802427,74.3656996723407,63.9532526657279
CHRW.OQ,17724956000,759336000.0,40.0180285692319,39.4006251817389,55.8943299427042,20.1197208487095
CHTR.OQ,55085000000,13245000000.0,37.2414500464196,36.8788048123855,43.9177439212065,24.1297997880788
CI.N,247121000000,9692000000.0,69.8135925124912,84.3173150266972,75.2251129718235,56.0679067041894
CINF.OQ,,2911000000.0,52.4467073851138,18.5691172935945,46.7925238505865,70.3357848725686
CL.N,20101000000,4331000000.0,88.3301176760819,90.024796383352,89.5410349854227,84.2808775339827
CLX.N,7104000000,1296000000.0,76.1549636699425,62.0194186614558,77.4221088435373,87.8266152853279
CMCSA.OQ,123731000000,23267000000.0,63.3603297803831,63.6149057563704,65.7792176598324,58.313940840564
CME.OQ,10209200000,8010600000.0,62.6591493281177,20.758180507061,68.1099484711293,70.6265429203359
CMG.N,11313853000,1943282000.0,61.0202511173589,46.0435838596442,76.3001200562336,51.5794482409901
CMI.N,34102000000,3698000000.0,62.2384031112197,56.4496386585015,64.6955197261643,66.1519244517586
CMS.N,7199000000,1487000000.0,56.1798368675416,55.604657687991,48.9020522869077,67.6466506229749
CNC.N,163071000000,3160000000.0,74.9750769557789,62.0427331237839,77.702714546866,78.1680837624718
CNP.N,,1990000000.0,45.992254208002,38.6045281878615,29.6337596039808,82.7373366433523
COF.N,,10392000000.0,71.4504633551959,62.4631542212817,72.0147928639118,74.2678663523086
COIN.OQ,6564028000,2235435000.0,34.6329177230348,4.36507936507936,39.8894284338675,36.3060598022653
COO.OQ,3895400000,705700000.0,55.8223450939009,43.7772544915402,49.8135260673,69.3549990933605
COP.N,54745000000,12506000000.0,63.6975593787156,61.8498453808989,79.0488253721138,39.0311155539536
COR.N,293958599000,3040132000.0,73.6656637349374,50.3532182103611,68.7131249313628,91.0656477377797
COST.OQ,254453000000,9285000000.0,71.9393937833193,81.4112633990396,53.8926008606109,82.1782728817972
CPAY.N,3974589000,1798847000.0,41.1151950457944,33.6941891766453,33.8114136209206,55.6425087526488
CPB.OQ,9636000000,1287000000.0,64.2177613998266,66.839879078983,73.7395567675723,44.8818855118156
CPRT.OQ,4236823000,1572023000.0,60.1318227156402,17.9627258132439,79.2637736217332,56.3078162838901
CPT.N,1543842000,312319000.0,78.1144153201061,73.1081313016729,71.8467450594836,89.8397259751961
CRL.N,4049989000,550832000.0,74.0191173994846,76.7916666666667,80.3614667407872,66.3921662659542
CRM.N,37895000000,7666000000.0,69.0375294109353,74.6083877645153,71.8104164009344,64.9785081079175
CRWD.OQ,3953624000,-117730000.0,25.499409201988,20.2140781873195,29.4812652173549,23.6561880487114
CSCO.OQ,56654000000,13716000000.0,82.5421762316702,70.7661698891863,89.187957856117,82.6433068860135
CSGP.OQ,2736200000,4700000.0,71.0180837193118,73.0643275026158,62.0384144016265,78.1367036078828
CSX.OQ,14540000000,5342000000.0,67.4452692857494,67.5804093567251,70.2161610765892,63.6809418724868
CTAS.OQ,10340181000,2344726000.0,63.4510185951328,65.2746901407174,74.5966831017481,47.9327660881043
CTRA.N,5458000000,1386000000.0,39.4641701616459,33.5422844682992,29.6380645715127,65.6728241476256
CTSH.OQ,19736000000,3026000000.0,72.1294564642459,77.6431986194245,75.5766745185965,67.506896048668
CTVA.N,16908000000,2093000000.0,67.8100930341194,58.405559584182,70.0795977514098,80.5792191358224
CVS.N,372809000000,10068000000.0,73.7757596088251,92.0015716210148,89.8824906718754,45.3347763270697
CVX.N,193414000000,25179000000.0,61.6579064798719,51.5123649892054,55.1117767870363,88.2119652850735
CZR.OQ,11245000000,2275000000.0,61.9603575784533,64.1832509492083,74.821772477886,40.6676311956247
D.N,13643000000,3846000000.0,75.4006139106974,72.3445971329026,69.8828301659307,87.7689613011452
DAL.N,61643000000,5995000000.0,57.5822471711325,52.7369281045752,63.5222371967656,54.1671128288301
DASH.OQ,10722000000,232000000.0,48.9535950325399,25.3106662311465,53.1696702907594,52.4159644228244
DAY.N,1760000000,136800000.0,72.5657971700944,44.8060646174299,74.6284405560812,79.1175517979607
DD.N,12386000000,1876000000.0,71.0060197733156,66.0537973737706,77.7267043443757,70.163167274076
DDOG.OQ,2684275000,54284000.0,32.8740339213063,20.6315948822567,48.9315798083865,22.7194344524798
DE.N,51640000000,12793000000.0,70.8834787604259,84.3549985230282,72.0166527338593,53.2319380579129
DECK.N,4985612000,1183382000.0,63.1880409611319,66.5670949885651,66.370244688753,55.1608965143249
DELL.N,95567000000,7067000000.0,73.2938853852304,80.7812946743179,67.4747676320231,77.4318043042107
DG.N,40612308000,1940774000.0,63.953163760651,43.5328627745005,76.4469486866979,68.8793333575782
DGX.N,9872000000,1408000000.0,64.9118797039033,62.8070175438597,79.2143843404808,48.8013052200319
DHI.N,36801400000,6345200000.0,46.9484042500459,26.5451171968266,46.4584642503349,74.240250085445
DHR.N,23875000000,5209000000.0,81.0398826845839,68.9778475492761,85.2700697107257,81.0990861633075
DIS.N,91361000000,11914000000.0,67.6245132180635,51.7633807893314,84.6512750899143,50.4929875630371
DLR.N,5554968000,565766000.0,70.1825412442867,67.3098316251486,55.2130526247768,87.5887223371546
DLTR.OQ,17578500000,1592200000.0,70.0169032880713,54.5654810614917,75.8159635857129,77.4802075801846
DOC.N,2700449000,461361000.0,85.1355444364599,89.2789196030962,82.758897657546,82.5330139955869
