Instrument,CO2 Equivalent Emissions Total
A.N,68619.0
AAPL.OQ,1279700.0
ABBV.N,541214.0
ABNB.OQ,7363.0
ABT.N,981000.0
ACGL.OQ,8202.0
ACN.N,203850.0
ADBE.OQ,70311.0
ADI.OQ,428887.53
ADM.N,14590000.0
ADP.OQ,
ADSK.OQ,8715.0
AEE.N,26585287.0
AEP.OQ,47999764.0
AES.N,28218000.0
AFL.N,11061.0
AIG.N,33723.0
AIZ.N,13534.0
AJG.N,36522.0
AKAM.OQ,243355.0
ALB.N,1116000.0
ALGN.OQ,43100.0
ALL.N,73250.0
ALLE.N,99641.0
AMAT.OQ,219352.0
AMCR.N,1598000.0
AMD.OQ,90868.0
AME.N,103900.0
AMGN.OQ,275000.0
AMP.N,27514.0
AMT.N,1141124.0
AMZN.OQ,17060000.0
ANET.N,29952.0
AON.N,47022.0
AOS.N,143109.0
APA.OQ,6183000.0
APD.N,27100000.0
APH.N,405653.0
APO.N,10984.0
APTV.N,453644.0
ARE.N,305002.0
ATO.N,
AVB.N,68993.0
AVGO.OQ,244825.0
AVY.N,345000.0
AWK.N,534773.0
AXON.OQ,
AXP.N,122639.0
AZO.N,450086.0
BA.N,1300000.0
BAC.N,678063.0
BALL.N,1062325.0
BAX.N,736187.0
BBY.N,475941.0
BDX.N,549688.0
BEN.N,
BFb.N,135319.18
BG.N,2683588.0
BIIB.OQ,89469.0
BK.N,103264.0
BKNG.OQ,2727.0
BKR.OQ,598843.0
BLDR.N,220521.17
BLK.N,30189.0
BMY.N,367352.0
BR.N,51408.0
BRKb.N,
BRO.N,
BSX.N,184330.0
BX.N,11301.0
BXP.N,92634.0
C.N,497353.0
CAG.N,822417.0
CAH.N,365860.0
CARR.N,407538.0
CAT.N,1450000.0
CB.N,87336.0
CBOE.Z,13523.0
CBRE.N,93811.0
CCI.N,69603.0
CCL.N,9648000.0
CDNS.OQ,28363.0
CDW.OQ,23152.0
CEG.OQ,8639496.0
CF.N,19446000.0
CFG.N,41548.0
CHD.N,135930.0
CHRW.OQ,32040.0
CHTR.OQ,1500947.0
CI.N,98689.0
CINF.OQ,23116.0
CL.N,601500.0
CLX.N,239130.0
CMCSA.OQ,1965000.0
CME.OQ,10757.0
CMG.N,300035.0
CMI.N,797476.0
CMS.N,16139212.0
